"proj_id","proj_age_quarter","ci_age_month","Date","proj_age","n_pr_open","n_pr_core","n_pr_merged","n_pr_unmerged","n_core_merged","n_core_unmerged","n_issue_open","n_issue_proj_closed","team_size","test_files","test_loc","src_files","src_loc","n_star","n_fork"
11117,3,-10,"00:00.0",9,10,10,8,2,8,2,4,1,3,129,8473,727,120433,192,24
11117,4,-8,"00:00.0",11,6,3,2,4,2,1,0,0,3,130,8590,779,127291,233,33
11117,4,-9,"00:00.0",10,19,18,18,1,17,1,1,0,5,130,8590,779,127291,233,33
11117,4,-7,"00:00.0",12,83,30,61,22,25,5,8,1,5,130,8590,779,127291,233,33
11117,5,-4,"00:00.0",15,69,33,65,4,33,0,2,5,5,131,8623,1000,144862,283,64
11117,5,-5,"00:00.0",14,52,27,48,4,26,1,2,1,5,131,8623,1000,144862,283,64
11117,5,-6,"00:00.0",13,57,25,50,7,22,3,2,2,5,131,8623,1000,144862,283,64
11117,6,-1,"00:00.0",18,5,3,4,1,3,0,3,2,4,139,8955,1142,165766,327,76
11117,6,-2,"00:00.0",17,33,19,31,2,19,0,15,1,5,139,8955,1142,165766,327,76
11117,6,-3,"00:00.0",16,76,57,72,4,54,3,3,2,5,139,8955,1142,165766,327,76
11117,7,2,"00:00.0",20,18,17,17,1,16,1,1,3,4,152,10313,1172,169104,358,91
11117,7,1,"00:00.0",19,32,24,32,0,24,0,1,0,4,152,10313,1172,169104,358,91
11117,7,3,"00:00.0",21,8,8,8,0,8,0,2,0,3,152,10313,1172,169104,358,91
11117,8,6,"00:00.0",24,17,14,15,2,14,0,16,2,6,174,11987,1216,171745,378,103
11117,8,5,"00:00.0",23,46,44,45,1,44,0,19,9,5,174,11987,1216,171745,378,103
11117,8,4,"00:00.0",22,11,8,10,1,8,0,9,1,5,174,11987,1216,171745,378,103
11117,9,7,"00:00.0",25,114,29,65,49,27,2,12,12,7,198,17020,1285,178477,387,173
11117,9,9,"00:00.0",27,66,33,63,3,30,3,7,2,7,198,17020,1285,178477,387,173
11117,9,8,"00:00.0",26,54,19,46,8,18,1,17,11,7,198,17020,1285,178477,387,173
111811,10,3,"00:00.0",28,19,13,17,2,11,2,0,0,4,13,1559,130,26085,293,65
111811,10,4,"00:00.0",29,6,5,6,0,5,0,0,0,3,13,1559,130,26085,293,65
111811,10,5,"00:00.0",30,23,1,18,5,1,0,0,0,4,13,1559,130,26085,293,65
111811,11,7,"00:00.0",32,34,13,28,6,12,1,0,0,4,14,1828,132,27008,303,74
111811,11,8,"00:00.0",33,19,9,18,1,8,1,0,0,3,14,1828,132,27008,303,74
111811,11,6,"00:00.0",31,39,7,32,7,6,1,0,0,4,14,1828,132,27008,303,74
111811,12,9,"00:00.0",34,8,3,7,1,2,1,0,0,3,14,2120,138,27997,329,76
